133,OUT,Gierle_1 [Bike Richting Lille] / Gierle Lille 1 Totem Fietser Richting Lille
134,IN,Retie 1 Fietser Richting Dessel
134,OUT,Retie 1 Fietser Richting Retie
135,IN,Retie 2 Fietser Richting Dessel
135,OUT,Retie 2 Fietser Richting Retie
136,IN,Gent R4 Fietser Richting Gent
136,OUT,Gent R4 Fietser Richting Zelzate
137,IN,Hasselt-Kempische brug totem Fietser Hasselt
137,OUT,Hasselt-Kempische brug totem Fietser Zonhoven
138,IN,Hasselt-Kempische brug Fietser Hasselt
138,OUT,Hasselt-Kempische brug Fietser Zonhoven
139,IN,Houthalen-Helchteren Fietser Zonhoven
139,OUT,Houthalen-Helchteren Fietser Lommel
140,IN,Hasselt ring Fietser Kapermolen
140,OUT,Hasselt ring Fietser Jessa ziekenhuis
143,IN,YTH17062596 Cyclists IN
143,OUT,YTH17062596 Cyclists OUT
145,OUT,Overijse Fietser UIT
146,IN,Overijse 2 [Bike IN]
146,OUT,Overijse 2 [Bike OUT]
147,IN,Overijse [Bike Ijsebos]
141,IN,Test site A support Fietser IN
142,IN,TEST Validatie BRUGGE Y2H22022134 Fietser IN
142,OUT,TEST Validatie BRUGGE Y2H22022134 Fietser UIT
144,IN,test leuven [Bike test]
147,OUT,Overijse [Bike Nieuwland]
148,IN,Hoeilaart [Bike Terhulpsesteenweg]
148,OUT,Hoeilaart [Bike Brussel]
149,IN,Machelen [Bike Machelen]
149,OUT,Machelen [Bike Zaventem]
150,IN,Bertem Fietser Leuven
150,OUT,Bertem Fietser Brussel
151,IN,Leuven [Bike Leuven]
151,OUT,Leuven [Bike Bertem]
152,IN,Opwijk Fietser richt. Londerzeel
152,OUT,Opwijk Fietser rich Aalst
