site_id,site_name,longitude,latitude,municipality,district_code,road_code,operator,interval_min,install_date,segment_id,road_name,morphology_en,road_category_code,road_category_en,access_en,geometry_method_en,manager_code,manager_label,length_m,dist_to_segment_m,bike_lane_width_m,has_cycleway,bike_lane_source,poi_shop_250m,poi_shop_500m,poi_shop_1000m,poi_education_250m,poi_education_500m,poi_education_1000m,poi_hotel_250m,poi_hotel_500m,poi_hotel_1000m,poi_hospital_250m,poi_hospital_500m,poi_hospital_1000m,sensor_age_days,install_year,bike_width_imputed
192509209,Unknown,4.725630601397207,50.8645813083563,Leuven,AWV214,192509209,Unknown,60,,192509209,Unknown,service_road,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,58.1,0.0,4.0,True,osm_bike_network,2,2,20,1,1,6,0,0,1,0,1,2,0,2026,False
290745698,Hoegaardsestraat,4.725831099319479,50.86423831533023,Leuven,AWV214,290745698,Unknown,60,,290745698,Hoegaardsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,89.27,0.0,6.0,True,osm_bike_network,2,2,18,1,1,5,0,0,1,0,1,2,0,2026,False
"[290745698, 952686862]",Hoegaardsestraat,4.724986004865034,50.864617991908354,Leuven,AWV214,"[290745698, 952686862]",Unknown,60,,"[290745698, 952686862]",Hoegaardsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,59.2,0.0,6.0,True,osm_bike_network,2,2,21,0,1,7,0,0,1,0,1,3,0,2026,False
11994293,Ziekelingenstraat,4.729765448511981,50.86506208424749,Leuven,AWV214,11994293,Unknown,60,,11994293,Ziekelingenstraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,529.68,0.0,5.0,True,osm_bike_network,0,2,11,0,1,3,0,0,0,0,1,2,0,2026,False
"[1060546848, 1060546849, 1060546850, 1060546851, 1060546852, 1060546853, 547743280, 192689371]",Hoegaardsestraat,4.727353221068861,50.863264211667094,Leuven,AWV214,"[1060546848, 1060546849, 1060546850, 1060546851, 1060546852, 1060546853, 547743280, 192689371]",Unknown,60,,"[1060546848, 1060546849, 1060546850, 1060546851, 1060546852, 1060546853, 547743280, 192689371]",Hoegaardsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,216.48,0.0,5.0,True,osm_bike_network,1,2,13,1,1,4,0,0,1,0,0,1,0,2026,False
"[111535713, 111535715, 23443399]",Duivelsweg,4.727824753156677,50.86239706350977,Leuven,AWV214,"[111535713, 111535715, 23443399]",Unknown,60,,"[111535713, 111535715, 23443399]",Duivelsweg,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,112.9,0.0,5.0,True,osm_bike_network,1,2,12,1,1,2,0,0,1,0,0,1,0,2026,False
"[1060353697, 1060353698, 1060353699]",Hoegaardsestraat,4.728770276521874,50.86252953638191,Leuven,AWV214,"[1060353697, 1060353698, 1060353699]",Unknown,60,,"[1060353697, 1060353698, 1060353699]",Hoegaardsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,53.38,0.0,5.0,True,osm_bike_network,1,2,12,1,1,2,0,0,1,0,0,1,0,2026,False
11298651,Unknown,4.731506813766794,50.861438161501866,Leuven,AWV214,11298651,Unknown,60,,11298651,Unknown,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,199.74,0.0,5.0,True,osm_bike_network,0,1,2,0,1,2,0,0,0,0,0,1,0,2026,False
"[517538538, 16383222]",Hoegaardsestraat,4.730847364861466,50.86072565865708,Leuven,AWV214,"[517538538, 16383222]",Unknown,60,,"[517538538, 16383222]",Hoegaardsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,107.19,0.0,5.0,True,osm_bike_network,0,1,3,0,1,2,0,0,0,0,0,1,0,2026,False
"[1060353696, 1060353697, 23443398, 16383222]",Hoegaardsestraat,4.729733372856145,50.861767162868475,Leuven,AWV214,"[1060353696, 1060353697, 23443398, 16383222]",Unknown,60,,"[1060353696, 1060353697, 23443398, 16383222]",Hoegaardsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,170.58,0.0,5.0,True,osm_bike_network,1,1,6,1,1,2,0,0,1,0,0,1,0,2026,False
"[93337264, 93337266, 9904031]",Hoegaardsestraat,4.73102007696529,50.860112002480726,Leuven,AWV214,"[93337264, 93337266, 9904031]",Unknown,60,,"[93337264, 93337266, 9904031]",Hoegaardsestraat,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,75.08,0.0,5.0,True,osm_bike_network,0,1,3,0,1,2,0,0,0,0,0,1,0,2026,False
20547596,Wittehoevelaan,4.731653158192971,50.86052944100449,Leuven,AWV214,20547596,Unknown,60,,20547596,Wittehoevelaan,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,56.7,0.0,5.0,True,osm_bike_network,0,1,2,0,1,2,0,0,0,0,0,1,0,2026,False
"[93337257, 1301073851, 93337262]",Haanhofweg,4.730374879922957,50.859640889814344,Leuven,AWV214,"[93337257, 1301073851, 93337262]",Unknown,60,,"[93337257, 1301073851, 93337262]",Haanhofweg,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,71.77,0.0,4.0,True,osm_bike_network,0,1,3,0,1,2,0,0,1,0,0,0,0,2026,False
794686347,Hoegaardsestraat,4.731670398961739,50.85935132159452,Leuven,AWV214,794686347,Unknown,60,,794686347,Hoegaardsestraat,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,170.32,0.0,5.0,True,osm_bike_network,0,0,2,0,1,2,0,0,0,0,0,0,0,2026,False
9904025,Hoegaardsestraat,4.732856869895685,50.85850237560081,Leuven,AWV214,9904025,Unknown,60,,9904025,Hoegaardsestraat,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,84.89,0.0,5.0,True,osm_bike_network,0,0,2,0,0,2,0,0,0,0,0,0,0,2026,False
9923877,Norbertijnerweg,4.7206826500000005,50.8652473,Leuven,AWV214,9923877,Unknown,60,,9923877,Norbertijnerweg,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,165.13,0.0,1.5,True,osm_bike_network,0,4,32,0,0,10,0,0,2,0,0,7,0,2026,False
"[9923874, 419034242]",Unknown,4.719415093863349,50.865100813893314,Leuven,AWV214,"[9923874, 419034242]",Unknown,60,,"[9923874, 419034242]",Unknown,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,76.2,0.0,1.5,True,osm_bike_network,2,4,36,0,1,9,0,1,2,0,0,7,0,2026,False
"[1214840137, 1034518078]",Unknown,4.721685473167711,50.86472398121344,Leuven,AWV214,"[1214840137, 1034518078]",Unknown,60,,"[1214840137, 1034518078]",Unknown,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,77.49,0.0,1.5,True,osm_bike_network,1,5,25,0,1,8,0,0,2,0,0,5,0,2026,False
119494911,Norbertijnerweg,4.72340715,50.864750400000005,Leuven,AWV214,119494911,Unknown,60,,119494911,Norbertijnerweg,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,23.31,0.0,1.5,True,osm_bike_network,1,4,22,0,1,7,0,0,1,0,1,4,0,2026,False
125472519,Boghe of Brandgang,4.6955179068019985,50.87657083037957,Leuven,AWV214,125472519,Unknown,60,,125472519,Boghe of Brandgang,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,93.58,0.0,1.5,True,osm_bike_network,9,108,434,13,79,215,1,7,20,0,7,29,0,2026,False
1154212133,Unknown,4.696164207482645,50.87653809522953,Leuven,AWV214,1154212133,Unknown,60,,1154212133,Unknown,service_road,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,9.68,0.0,4.0,True,osm_bike_network,11,102,460,15,88,218,1,7,21,1,7,32,0,2026,False
192509211,Unknown,4.723315821486471,50.86486058759668,Leuven,AWV214,192509211,Unknown,60,,192509211,Unknown,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,46.52,0.0,1.5,True,osm_bike_network,1,4,22,0,1,7,0,0,1,0,1,4,0,2026,False
